primitive,entity,mean_ms,std_ms
sha256_1kb,imd,4.10,0.15
sha256_1kb,patient,0.078,0.002
sha256_1kb,server,0.0029,0.0001
puf_simulation,imd,1.75,0.08
fuzzy_extractor,imd,15.63,0.93
fuzzy_extractor,patient,0.176,0.012
fuzzy_extractor,server,0.008,0.001
ecc_point_mult,imd,1405,35
ecc_point_mult,patient,12.3,0.4
ecc_point_mult,server,0.44,0.02
ppp_gen,imd,8.7,0.22
ppp_ver,patient,0.176,0.006
ppp_gen,server,0.215,0.008
mesap_ver,imd,10.1,0.25
mesap_gen,server,0.272,0.010
imdpp_gen,imd,8.9,0.20
imdpp_ver,patient,0.176,0.006
