protocol,run,imd_ms,patient_ms,server_ms,total_ms
MedAuth,1,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,2,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,3,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,4,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,5,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,6,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,7,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,8,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,9,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,10,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,11,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,12,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,13,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,14,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,15,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,16,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,17,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,18,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,19,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,20,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,21,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,22,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,23,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,24,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,25,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,26,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,27,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,28,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,29,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,30,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,31,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,32,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,33,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,34,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,35,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,36,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,37,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,38,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,39,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,40,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,41,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,42,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,43,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,44,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,45,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,46,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,47,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,48,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,49,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,50,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,51,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,52,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,53,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,54,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,55,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,56,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,57,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,58,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,59,33.250890445,1.330090045,0.580050025,41.071120561
MedAuth,60,35.029109555,1.509909955,0.679949975,43.308879439
MedAuth,61,33.250890445,1.330090045,0.580050025,41.071120561
