protocol,concurrency,repeat,sample_id,cpu_percent
MedAuth,10,1,1,15
MedAuth,10,1,2,15
MedAuth,10,1,3,15
MedAuth,10,2,1,15
MedAuth,10,2,2,15
MedAuth,10,2,3,15
MedAuth,10,3,1,15
MedAuth,10,3,2,15
MedAuth,10,3,3,15
MedAuth,100,1,1,62
MedAuth,100,1,2,62
MedAuth,100,1,3,62
MedAuth,100,2,1,62
MedAuth,100,2,2,62
MedAuth,100,2,3,62
MedAuth,100,3,1,62
MedAuth,100,3,2,62
MedAuth,100,3,3,62
MedAuth,500,1,1,95
MedAuth,500,1,2,95
MedAuth,500,1,3,95
MedAuth,500,2,1,95
MedAuth,500,2,2,95
MedAuth,500,2,3,95
MedAuth,500,3,1,95
MedAuth,500,3,2,95
MedAuth,500,3,3,95
MedAuth,1000,1,1,98
MedAuth,1000,1,2,98
MedAuth,1000,1,3,98
MedAuth,1000,2,1,98
MedAuth,1000,2,2,98
MedAuth,1000,2,3,98
MedAuth,1000,3,1,98
MedAuth,1000,3,2,98
MedAuth,1000,3,3,98
MedAuth,2000,1,1,100
MedAuth,2000,1,2,100
MedAuth,2000,1,3,100
MedAuth,2000,2,1,100
MedAuth,2000,2,2,100
MedAuth,2000,2,3,100
MedAuth,2000,3,1,100
MedAuth,2000,3,2,100
MedAuth,2000,3,3,100
MedAuth,5000,1,1,100
MedAuth,5000,1,2,100
MedAuth,5000,1,3,100
MedAuth,5000,2,1,100
MedAuth,5000,2,2,100
MedAuth,5000,2,3,100
MedAuth,5000,3,1,100
MedAuth,5000,3,2,100
MedAuth,5000,3,3,100
MedAuth,10000,1,1,100
MedAuth,10000,1,2,100
MedAuth,10000,1,3,100
MedAuth,10000,2,1,100
MedAuth,10000,2,2,100
MedAuth,10000,2,3,100
MedAuth,10000,3,1,100
MedAuth,10000,3,2,100
MedAuth,10000,3,3,100
PLAKA-MD,10,1,1,12
PLAKA-MD,10,1,2,12
PLAKA-MD,10,1,3,12
PLAKA-MD,10,2,1,12
PLAKA-MD,10,2,2,12
