protocol,concurrency,repeat,sample_id,latency_ms
MedAuth,10,1,1,5.9
MedAuth,10,1,2,5.9
MedAuth,10,1,3,5.9
MedAuth,10,1,4,5.9
MedAuth,10,1,5,5.9
MedAuth,10,1,6,5.9
MedAuth,10,1,7,5.9
MedAuth,10,1,8,5.9
MedAuth,10,1,9,5.9
MedAuth,10,1,10,5.9
MedAuth,10,1,11,5.9
MedAuth,10,1,12,5.9
MedAuth,10,1,13,5.9
MedAuth,10,1,14,5.9
MedAuth,10,1,15,5.9
MedAuth,10,1,16,5.9
MedAuth,10,1,17,5.9
MedAuth,10,1,18,5.9
MedAuth,10,1,19,5.9
MedAuth,10,1,20,5.9
MedAuth,10,1,21,5.9
MedAuth,10,1,22,5.9
MedAuth,10,1,23,5.9
MedAuth,10,1,24,5.9
MedAuth,10,1,25,5.9
MedAuth,10,1,26,5.9
MedAuth,10,1,27,5.9
MedAuth,10,1,28,5.9
MedAuth,10,1,29,5.9
MedAuth,10,1,30,5.9
MedAuth,10,1,31,5.9
MedAuth,10,1,32,5.9
MedAuth,10,1,33,5.9
MedAuth,10,1,34,5.9
MedAuth,10,1,35,5.9
MedAuth,10,1,36,5.9
MedAuth,10,1,37,5.9
MedAuth,10,1,38,5.9
MedAuth,10,1,39,5.9
MedAuth,10,1,40,5.9
MedAuth,10,1,41,5.9
MedAuth,10,1,42,5.9
MedAuth,10,1,43,5.9
MedAuth,10,1,44,5.9
MedAuth,10,1,45,5.9
MedAuth,10,1,46,5.9
MedAuth,10,1,47,5.9
MedAuth,10,1,48,5.9
MedAuth,10,1,49,5.9
MedAuth,10,1,50,6.1
MedAuth,10,1,51,6.1
MedAuth,10,1,52,6.1
MedAuth,10,1,53,6.1
MedAuth,10,1,54,6.1
MedAuth,10,1,55,6.1
MedAuth,10,1,56,6.1
MedAuth,10,1,57,6.1
MedAuth,10,1,58,6.1
MedAuth,10,1,59,6.1
MedAuth,10,1,60,6.1
MedAuth,10,1,61,6.1
MedAuth,10,1,62,6.1
MedAuth,10,1,63,6.1
MedAuth,10,1,64,6.1
MedAuth,10,1,65,6.1
MedAuth,10,1,66,6.1
MedAuth,10,1,67,6.1
MedAuth,10,1,68,6.1
MedAuth,10,1,69,6.1
MedAuth,10,1,70,6.1
MedAuth,10,1,71,6.1
MedAuth,10,1,72,6.1
MedAuth,10,1,73,6.1
MedAuth,10,1,74,6.1
MedAuth,10,1,75,6.1
MedAuth,10,1,76,6.1
MedAuth,10,1,77,6.1
MedAuth,10,1,78,6.1
MedAuth,10,1,79,6.1
MedAuth,10,1,80,6.1
MedAuth,10,1,81,6.1
MedAuth,10,1,82,6.1
MedAuth,10,1,83,6.1
MedAuth,10,1,84,6.1
MedAuth,10,1,85,6.1
MedAuth,10,1,86,6.1
MedAuth,10,1,87,6.1
MedAuth,10,1,88,6.1
MedAuth,10,1,89,6.1
MedAuth,10,1,90,6.1
MedAuth,10,1,91,6.1
MedAuth,10,1,92,6.1
MedAuth,10,1,93,6.1
MedAuth,10,1,94,6.1
MedAuth,10,1,95,8.2
MedAuth,10,1,96,8.3
MedAuth,10,1,97,8.3
MedAuth,10,1,98,8.3
MedAuth,10,1,99,8.3
MedAuth,10,1,100,8.3
MedAuth,10,2,1,5.9
MedAuth,10,2,2,5.9
MedAuth,10,2,3,5.9
MedAuth,10,2,4,5.9
MedAuth,10,2,5,5.9
MedAuth,10,2,6,5.9
MedAuth,10,2,7,5.9
MedAuth,10,2,8,5.9
MedAuth,10,2,9,5.9
MedAuth,10,2,10,5.9
MedAuth,10,2,11,5.9
MedAuth,10,2,12,5.9
MedAuth,10,2,13,5.9
MedAuth,10,2,14,5.9
MedAuth,10,2,15,5.9
MedAuth,10,2,16,5.9
MedAuth,10,2,17,5.9
MedAuth,10,2,18,5.9
MedAuth,10,2,19,5.9
MedAuth,10,2,20,5.9
MedAuth,10,2,21,5.9
MedAuth,10,2,22,5.9
MedAuth,10,2,23,5.9
MedAuth,10,2,24,5.9
MedAuth,10,2,25,5.9
MedAuth,10,2,26,5.9
MedAuth,10,2,27,5.9
MedAuth,10,2,28,5.9
MedAuth,10,2,29,5.9
MedAuth,10,2,30,5.9
MedAuth,10,2,31,5.9
MedAuth,10,2,32,5.9
MedAuth,10,2,33,5.9
MedAuth,10,2,34,5.9
MedAuth,10,2,35,5.9
MedAuth,10,2,36,5.9
MedAuth,10,2,37,5.9
MedAuth,10,2,38,5.9
MedAuth,10,2,39,5.9
MedAuth,10,2,40,5.9
MedAuth,10,2,41,5.9
MedAuth,10,2,42,5.9
MedAuth,10,2,43,5.9
MedAuth,10,2,44,5.9
MedAuth,10,2,45,5.9
MedAuth,10,2,46,5.9
MedAuth,10,2,47,5.9
MedAuth,10,2,48,5.9
MedAuth,10,2,49,5.9
MedAuth,10,2,50,6.1
MedAuth,10,2,51,6.1
MedAuth,10,2,52,6.1
MedAuth,10,2,53,6.1
MedAuth,10,2,54,6.1
MedAuth,10,2,55,6.1
MedAuth,10,2,56,6.1
MedAuth,10,2,57,6.1
MedAuth,10,2,58,6.1
MedAuth,10,2,59,6.1
MedAuth,10,2,60,6.1
MedAuth,10,2,61,6.1
MedAuth,10,2,62,6.1
MedAuth,10,2,63,6.1
MedAuth,10,2,64,6.1
MedAuth,10,2,65,6.1
MedAuth,10,2,66,6.1
MedAuth,10,2,67,6.1
MedAuth,10,2,68,6.1
MedAuth,10,2,69,6.1
MedAuth,10,2,70,6.1
MedAuth,10,2,71,6.1
MedAuth,10,2,72,6.1
MedAuth,10,2,73,6.1
MedAuth,10,2,74,6.1
MedAuth,10,2,75,6.1
MedAuth,10,2,76,6.1
MedAuth,10,2,77,6.1
MedAuth,10,2,78,6.1
MedAuth,10,2,79,6.1
MedAuth,10,2,80,6.1
MedAuth,10,2,81,6.1
MedAuth,10,2,82,6.1
MedAuth,10,2,83,6.1
MedAuth,10,2,84,6.1
MedAuth,10,2,85,6.1
MedAuth,10,2,86,6.1
MedAuth,10,2,87,6.1
MedAuth,10,2,88,6.1
MedAuth,10,2,89,6.1
MedAuth,10,2,90,6.1
MedAuth,10,2,91,6.1
MedAuth,10,2,92,6.1
MedAuth,10,2,93,6.1
MedAuth,10,2,94,6.1
MedAuth,10,2,95,8.2
MedAuth,10,2,96,8.3
MedAuth,10,2,97,8.3
MedAuth,10,2,98,8.3
MedAuth,10,2,99,8.3
MedAuth,10,2,100,8.3
MedAuth,10,3,1,5.9
MedAuth,10,3,2,5.9
MedAuth,10,3,3,5.9
MedAuth,10,3,4,5.9
MedAuth,10,3,5,5.9
MedAuth,10,3,6,5.9
MedAuth,10,3,7,5.9
MedAuth,10,3,8,5.9
MedAuth,10,3,9,5.9
MedAuth,10,3,10,5.9
MedAuth,10,3,11,5.9
MedAuth,10,3,12,5.9
MedAuth,10,3,13,5.9
MedAuth,10,3,14,5.9
MedAuth,10,3,15,5.9
MedAuth,10,3,16,5.9
MedAuth,10,3,17,5.9
MedAuth,10,3,18,5.9
MedAuth,10,3,19,5.9
MedAuth,10,3,20,5.9
MedAuth,10,3,21,5.9
MedAuth,10,3,22,5.9
MedAuth,10,3,23,5.9
MedAuth,10,3,24,5.9
MedAuth,10,3,25,5.9
MedAuth,10,3,26,5.9
MedAuth,10,3,27,5.9
MedAuth,10,3,28,5.9
MedAuth,10,3,29,5.9
MedAuth,10,3,30,5.9
MedAuth,10,3,31,5.9
MedAuth,10,3,32,5.9
MedAuth,10,3,33,5.9
MedAuth,10,3,34,5.9
MedAuth,10,3,35,5.9
MedAuth,10,3,36,5.9
MedAuth,10,3,37,5.9
MedAuth,10,3,38,5.9
MedAuth,10,3,39,5.9
MedAuth,10,3,40,5.9
MedAuth,10,3,41,5.9
MedAuth,10,3,42,5.9
MedAuth,10,3,43,5.9
MedAuth,10,3,44,5.9
MedAuth,10,3,45,5.9
MedAuth,10,3,46,5.9
MedAuth,10,3,47,5.9
MedAuth,10,3,48,5.9
MedAuth,10,3,49,5.9
MedAuth,10,3,50,6.1
MedAuth,10,3,51,6.1
MedAuth,10,3,52,6.1
MedAuth,10,3,53,6.1
MedAuth,10,3,54,6.1
MedAuth,10,3,55,6.1
MedAuth,10,3,56,6.1
MedAuth,10,3,57,6.1
MedAuth,10,3,58,6.1
MedAuth,10,3,59,6.1
MedAuth,10,3,60,6.1
MedAuth,10,3,61,6.1
MedAuth,10,3,62,6.1
MedAuth,10,3,63,6.1
MedAuth,10,3,64,6.1
MedAuth,10,3,65,6.1
MedAuth,10,3,66,6.1
MedAuth,10,3,67,6.1
MedAuth,10,3,68,6.1
MedAuth,10,3,69,6.1
MedAuth,10,3,70,6.1
MedAuth,10,3,71,6.1
MedAuth,10,3,72,6.1
MedAuth,10,3,73,6.1
MedAuth,10,3,74,6.1
MedAuth,10,3,75,6.1
MedAuth,10,3,76,6.1
MedAuth,10,3,77,6.1
MedAuth,10,3,78,6.1
MedAuth,10,3,79,6.1
MedAuth,10,3,80,6.1
MedAuth,10,3,81,6.1
MedAuth,10,3,82,6.1
MedAuth,10,3,83,6.1
MedAuth,10,3,84,6.1
MedAuth,10,3,85,6.1
MedAuth,10,3,86,6.1
MedAuth,10,3,87,6.1
MedAuth,10,3,88,6.1
MedAuth,10,3,89,6.1
MedAuth,10,3,90,6.1
MedAuth,10,3,91,6.1
MedAuth,10,3,92,6.1
MedAuth,10,3,93,6.1
MedAuth,10,3,94,6.1
MedAuth,10,3,95,8.2
MedAuth,10,3,96,8.3
MedAuth,10,3,97,8.3
MedAuth,10,3,98,8.3
MedAuth,10,3,99,8.3
MedAuth,10,3,100,8.3
MedAuth,100,1,1,6.3
MedAuth,100,1,2,6.3
MedAuth,100,1,3,6.3
MedAuth,100,1,4,6.3
MedAuth,100,1,5,6.3
MedAuth,100,1,6,6.3
MedAuth,100,1,7,6.3
MedAuth,100,1,8,6.3
MedAuth,100,1,9,6.3
MedAuth,100,1,10,6.3
MedAuth,100,1,11,6.3
MedAuth,100,1,12,6.3
MedAuth,100,1,13,6.3
MedAuth,100,1,14,6.3
MedAuth,100,1,15,6.3
MedAuth,100,1,16,6.3
MedAuth,100,1,17,6.3
MedAuth,100,1,18,6.3
MedAuth,100,1,19,6.3
MedAuth,100,1,20,6.3
MedAuth,100,1,21,6.3
MedAuth,100,1,22,6.3
MedAuth,100,1,23,6.3
MedAuth,100,1,24,6.3
MedAuth,100,1,25,6.3
MedAuth,100,1,26,6.3
MedAuth,100,1,27,6.3
MedAuth,100,1,28,6.3
MedAuth,100,1,29,6.3
MedAuth,100,1,30,6.3
MedAuth,100,1,31,6.3
MedAuth,100,1,32,6.3
MedAuth,100,1,33,6.3
MedAuth,100,1,34,6.3
MedAuth,100,1,35,6.3
MedAuth,100,1,36,6.3
MedAuth,100,1,37,6.3
MedAuth,100,1,38,6.3
MedAuth,100,1,39,6.3
MedAuth,100,1,40,6.3
MedAuth,100,1,41,6.3
MedAuth,100,1,42,6.3
MedAuth,100,1,43,6.3
MedAuth,100,1,44,6.3
MedAuth,100,1,45,6.3
MedAuth,100,1,46,6.3
MedAuth,100,1,47,6.3
MedAuth,100,1,48,6.3
MedAuth,100,1,49,6.3
MedAuth,100,1,50,6.5
MedAuth,100,1,51,6.5
