protocol,concurrency,repeat,warmup_seconds,steady_state_seconds,total_requests,successful_requests,failed_requests
MedAuth,10,1,300,600,147000,147000,0
MedAuth,10,2,300,600,150000,150000,0
MedAuth,10,3,300,600,153000,153000,0
MedAuth,100,1,300,600,580800,580800,0
MedAuth,100,2,300,600,588000,588000,0
MedAuth,100,3,300,600,595200,595200,0
MedAuth,500,1,300,600,738739,738000,739
MedAuth,500,2,300,600,750751,750000,751
MedAuth,500,3,300,600,762763,762000,763
MedAuth,1000,1,300,600,730461,729000,1461
MedAuth,1000,2,300,600,745491,744000,1491
MedAuth,1000,3,300,600,760521,759000,1521
MedAuth,2000,1,300,600,717588,714000,3588
MedAuth,2000,2,300,600,735678,732000,3678
MedAuth,2000,3,300,600,753769,750000,3769
MedAuth,5000,1,300,600,681263,669000,12263
MedAuth,5000,2,300,600,702648,690000,12648
MedAuth,5000,3,300,600,724033,711000,13033
MedAuth,10000,1,300,600,594937,564000,30937
MedAuth,10000,2,300,600,620253,588000,32253
MedAuth,10000,3,300,600,645570,612000,33570
PLAKA-MD,10,1,300,600,187200,187200,0
PLAKA-MD,10,2,300,600,192000,192000,0
PLAKA-MD,10,3,300,600,196800,196800,0
PLAKA-MD,100,1,300,600,681000,681000,0
PLAKA-MD,100,2,300,600,690000,690000,0
PLAKA-MD,100,3,300,600,699000,699000,0
PLAKA-MD,500,1,300,600,838800,838800,0
PLAKA-MD,500,2,300,600,852000,852000,0
PLAKA-MD,500,3,300,600,865200,865200,0
PLAKA-MD,1000,1,300,600,830030,829200,830
PLAKA-MD,1000,2,300,600,846847,846000,847
PLAKA-MD,1000,3,300,600,863664,862800,864
PLAKA-MD,2000,1,300,600,811234,808800,2434
PLAKA-MD,2000,2,300,600,830491,828000,2491
PLAKA-MD,2000,3,300,600,849749,847200,2549
PLAKA-MD,5000,1,300,600,754251,745200,9051
PLAKA-MD,5000,2,300,600,777328,768000,9328
PLAKA-MD,5000,3,300,600,800405,790800,9605
PLAKA-MD,10000,1,300,600,668394,645000,23394
PLAKA-MD,10000,2,300,600,696373,672000,24373
PLAKA-MD,10000,3,300,600,724352,699000,25352
ERASMIS,10,1,300,600,40000,120,39880
ERASMIS,10,2,300,600,60000,180,59820
ERASMIS,10,3,300,600,80000,240,79760
ERASMIS,100,1,300,600,60000,0,60000
ERASMIS,100,2,300,600,60000,0,60000
ERASMIS,100,3,300,600,60000,0,60000
ERASMIS,>=500,1,300,600,300000,0,300000
ERASMIS,>=500,2,300,600,300000,0,300000
ERASMIS,>=500,3,300,600,300000,0,300000
4F-IoMT,10,1,300,600,38571,108,38463
4F-IoMT,10,2,300,600,60000,168,59832
4F-IoMT,10,3,300,600,81429,228,81201
4F-IoMT,100,1,300,600,60000,0,60000
4F-IoMT,100,2,300,600,60000,0,60000
4F-IoMT,100,3,300,600,60000,0,60000
4F-IoMT,>=500,1,300,600,300000,0,300000
4F-IoMT,>=500,2,300,600,300000,0,300000
4F-IoMT,>=500,3,300,600,300000,0,300000
