Protocol,Conc.,Throughput (auth/s),Latency p50 (ms),Latency p95 (ms),CPU (%),Error (%)
MedAuth,10,250 +/- 5,6.1,8.2,15,0.0
MedAuth,100,980 +/- 12,6.5,9.8,62,0.0
MedAuth,500,1250 +/- 20,8.8,15.2,95,0.1
MedAuth,1000,1240 +/- 25,9.5,18.5,98,0.2
MedAuth,2000,1220 +/- 30,18.2,85.1,100,0.5
MedAuth,5000,1150 +/- 35,48.3,220,100,1.8
MedAuth,10000,980 +/- 40,125,450,100,5.2
PLAKA-MD,10,320 +/- 8,4.2,6.5,12,0.0
PLAKA-MD,100,1150 +/- 15,4.8,7.2,55,0.0
PLAKA-MD,500,1420 +/- 22,6.5,10.8,92,0.0
PLAKA-MD,1000,1410 +/- 28,7.1,13.5,96,0.1
PLAKA-MD,2000,1380 +/- 32,12.5,58.3,100,0.3
PLAKA-MD,5000,1280 +/- 38,35.6,165,100,1.2
PLAKA-MD,10000,1120 +/- 45,98,380,100,3.5
ERASMIS,10,0.3 +/- 0.1,2900,2950,11,99.7
ERASMIS,100,0.0 +/- 0.0,-,-,10,100.0
ERASMIS,>=500,0.0 +/- 0.0,-,-,10,100.0
4F-IoMT,10,0.28 +/- 0.1,2910,2960,13,99.72
4F-IoMT,100,0.0 +/- 0.0,-,-,12,100.0
4F-IoMT,>=500,0.0 +/- 0.0,-,-,12,100.0
